solution_id,win_rate,win_rate_std,win_rate_ci,trick_changes,trick_changes_std,trick_changes_ci,p4_tricks_mean
2,0.78,0.41424630354415964,0.02096375538876563,3.9833333333333334,1.632295588699819,0.08260555411333048,7.012666666666667
3,0.816,0.38748419322599476,0.019609405743163152,3.582,1.5872227316920582,0.08032455283245174,7.289333333333333
5,0.85,0.3570714214271425,0.018070307136294057,3.192,1.5562142097624823,0.07875530510920802,7.5873333333333335
7,0.8426666666666667,0.36411475602556337,0.018426749046286345,3.196,1.571491011746488,0.07952841795819489,7.558
8,0.7573333333333333,0.42869517790098316,0.02169496931890313,4.073333333333333,1.5794373119001026,0.07993055623013805,6.817333333333333
13,0.8333333333333334,0.3726779962499649,0.01886010879352777,3.2826666666666666,1.594187218895224,0.08067700451370083,7.576
15,0.7453333333333333,0.43567368012717445,0.022048130258175667,4.092666666666666,1.6153677255934296,0.08174888604319759,6.741333333333333
16,0.7173333333333334,0.45029570531176755,0.022788106829204992,4.255333333333334,1.6328313514329096,0.08263266744852946,6.546
17,0.828,0.3773804446443933,0.01909808551661658,3.3153333333333332,1.6235449554053694,0.08216271096829303,7.501333333333333
20,0.7666666666666667,0.4229525846816507,0.021404354004976894,4.045333333333334,1.5720299686145371,0.07955569293892545,6.856
21,0.8186666666666667,0.3852941156513496,0.01949857252590938,3.4833333333333334,1.575348286006057,0.079723622968724,7.384
23,0.732,0.4429175995600085,0.022414723161350892,4.116,1.6394747126239348,0.08296886791133702,6.728666666666666
24,0.7306666666666667,0.44361344534277686,0.022449937816625912,4.240666666666667,1.6370948523392148,0.08284843036381648,6.648666666666666
25,0.812,0.3907121702737195,0.01977276392077412,3.6266666666666665,1.588486351495942,0.0803885008176151,7.267333333333333
26,0.8506666666666667,0.3564167348608772,0.01803717542476381,2.996,1.586605601065789,0.08029332171371553,7.807333333333333
28,0.7813333333333333,0.41334193539436037,0.020917988045734266,3.752,1.628853175294405,0.08243134395874206,7.082666666666666
