generation,hypervolume,n_pareto,best_f1,best_f2,time
50,3.236217,80,0.679,4.814,85.20711493492126
51,3.236266,80,0.679,4.814,86.96516704559326
52,3.236686,80,0.679,4.814,88.73065996170044
53,3.3114369999999997,80,0.697,4.814,90.49192595481873
54,3.3114369999999997,80,0.697,4.814,92.2674970626831
55,3.328675,80,0.701,4.814,94.03774404525757
56,3.328895,80,0.701,4.814,95.82355093955994
57,3.3294980000000005,80,0.701,4.814,97.58577919006348
58,3.331031,80,0.701,4.814,99.35004901885986
59,3.331052,80,0.701,4.814,101.12574887275696
60,3.331052,80,0.701,4.814,102.89729714393616
61,3.331052,80,0.701,4.814,104.66958713531494
62,3.350812,80,0.706,4.814,106.43661499023438
63,3.351143,80,0.706,4.814,108.21005201339722
64,3.4595629999999997,80,0.727,4.849,109.9858911037445
65,3.4595629999999997,80,0.727,4.849,111.75612783432007
66,3.4597709999999995,80,0.727,4.849,113.53735494613647
67,3.460436,80,0.727,4.849,115.31382703781128
68,3.460436,80,0.727,4.849,117.09901785850525
69,3.460436,80,0.727,4.849,118.86473798751831
70,3.460436,80,0.727,4.849,120.64907622337341
71,3.460856,80,0.727,4.849,122.42165398597717
72,3.460856,80,0.727,4.849,124.18534398078918
73,3.460856,80,0.727,4.849,125.96674299240112
74,3.460856,80,0.727,4.849,127.73332595825195
75,3.460856,80,0.727,4.849,129.51934719085693
76,3.4609850000000004,80,0.727,4.849,131.29978895187378
77,3.4609850000000004,80,0.727,4.849,133.08386707305908
78,3.4609850000000004,80,0.727,4.849,134.85522198677063
79,3.4609850000000004,80,0.727,4.849,136.63788318634033
80,3.461148,80,0.727,4.849,138.4100320339203
81,3.461148,80,0.727,4.849,140.18195700645447
82,3.4614460000000005,80,0.727,4.849,141.96861600875854
83,3.4614570000000002,80,0.727,4.849,143.74218702316284
84,3.4614700000000003,80,0.727,4.849,145.51835584640503
85,3.4614700000000003,80,0.727,4.849,147.28905701637268
86,3.4616830000000003,80,0.727,4.849,149.07374000549316
87,3.461693,80,0.727,4.849,150.84816813468933
88,3.462201,80,0.727,4.849,152.63190007209778
89,3.462201,80,0.727,4.849,154.43571710586548
90,3.462201,80,0.727,4.849,156.23393297195435
91,3.462201,80,0.727,4.849,158.01741409301758
92,3.462201,80,0.727,4.849,159.8279299736023
93,3.462201,80,0.727,4.849,161.6221101284027
94,3.462918,80,0.727,4.849,163.40210819244385
95,3.4633770000000004,80,0.727,4.849,165.16961979866028
96,3.463417,80,0.727,4.849,166.9453101158142
97,3.463417,80,0.727,4.849,168.7112591266632
98,3.463417,80,0.727,4.849,170.5049409866333
99,3.463417,80,0.727,4.849,172.29604601860046
100,3.463417,80,0.727,4.849,174.06309485435486
101,3.463417,80,0.727,4.849,175.82344102859497
102,3.463417,80,0.727,4.849,177.59452414512634
103,3.463417,80,0.727,4.849,179.35511898994446
104,3.463417,80,0.727,4.849,181.1241798400879
105,3.463417,80,0.727,4.849,182.89696717262268
106,3.463417,80,0.727,4.849,184.66075682640076
107,3.463417,80,0.727,4.849,186.42856001853943
108,3.4639759999999997,80,0.727,4.85,188.19286108016968
109,3.464041,80,0.727,4.85,190.03892183303833
110,3.464041,80,0.727,4.85,192.00168204307556
111,3.4640449999999996,80,0.727,4.85,193.83046913146973
112,3.4642449999999996,80,0.727,4.85,195.59721684455872
113,3.4645639999999998,80,0.727,4.85,197.3831238746643
114,3.4645639999999998,80,0.727,4.85,199.1987190246582
115,3.4645639999999998,80,0.727,4.85,200.9781641960144
116,3.4646039999999996,80,0.727,4.85,202.7456831932068
117,3.464752,80,0.727,4.85,204.50357604026794
118,3.4651280000000004,80,0.727,4.85,206.26873421669006
119,3.4651280000000004,80,0.727,4.85,208.03617596626282
120,3.4651980000000004,80,0.727,4.85,209.80558705329895
121,3.4651980000000004,80,0.727,4.85,211.69126224517822
122,3.4651980000000004,80,0.727,4.85,213.4673409461975
123,3.4651980000000004,80,0.727,4.85,215.2409188747406
124,3.4651980000000004,80,0.727,4.85,217.01070618629456
125,3.4651980000000004,80,0.727,4.85,218.78079199790955
126,3.4651980000000004,80,0.727,4.85,220.56763195991516
127,3.4651980000000004,80,0.727,4.85,222.3414340019226
128,3.4651980000000004,80,0.727,4.85,224.10761904716492
129,3.4652130000000003,80,0.727,4.85,225.88396620750427
130,3.4652130000000003,80,0.727,4.85,227.67129707336426
131,3.4652130000000003,80,0.727,4.85,229.46217322349548
132,3.4653510000000005,80,0.727,4.85,231.2608082294464
133,3.4653690000000004,80,0.727,4.85,233.03585982322693
134,3.4653690000000004,80,0.727,4.85,234.82038283348083
135,3.465385,80,0.727,4.85,236.59778308868408
136,3.465385,80,0.727,4.85,238.3522880077362
137,3.465385,80,0.727,4.85,240.1278429031372
138,3.465385,80,0.727,4.85,241.9303069114685
139,3.465385,80,0.727,4.85,243.69391202926636
140,3.465385,80,0.727,4.85,245.449725151062
141,3.465385,80,0.727,4.85,247.21616506576538
142,3.465385,80,0.727,4.85,248.99037790298462
143,3.465385,80,0.727,4.85,250.74912810325623
144,3.465404,80,0.727,4.85,252.51591205596924
145,3.4654119999999997,80,0.727,4.85,254.285630941391
146,3.4657559999999994,80,0.727,4.85,256.0529041290283
147,3.4657559999999994,80,0.727,4.85,257.8071789741516
148,3.4657559999999994,80,0.727,4.85,259.5751368999481
149,3.4657559999999994,80,0.727,4.85,261.34670519828796
150,3.4657559999999994,80,0.727,4.85,263.1183350086212
